por,C0,u0,k_r,D_eff,X_1d,X_3d,X_7d,X_14d,X_21d,X_30d,X_45d,X_60d
0.40403,0.75953,6.7214e-05,5.758e-07,4.64e-10,0.0037797631460712022,0.011542145398144354,0.026989770194129847,0.05379991771939674,0.08037648586234691,0.11420016632887509,0.16976541882688068,0.2240607811013795
0.34753,0.83008,6.6796e-05,8.7562e-07,4.13e-10,0.0045039549867512685,0.013708788287227769,0.032060092809580776,0.06404034223704924,0.09585553038526062,0.13654894036492404,0.20363220174639407,0.269564251527448
0.29704,0.10483,7.316e-05,5.3558e-07,6.25e-10,0.0005409046478180857,0.0016530424866056936,0.0038755155793818163,0.0077604310134177235,0.011640143234150635,0.01661964219890122,0.024899972338514487,0.033154106463072375
0.49722,0.966,9.7721e-05,7.1375e-07,8.04e-10,0.006689447478140154,0.020279845665221674,0.047136012305779684,0.09342592532092497,0.13876508997842119,0.1955011030492878,0.28682131649712095,0.3730449918940917
0.38905,0.75091,1.0913e-05,8.2233e-07,4.97e-10,0.0006934418512205553,0.002116486560881925,0.0049606528805047345,0.009933345918663794,0.014901777645162984,0.021286195841071165,0.031920260410795875,0.042548241164733436
0.39226,0.8809,5.408e-05,2.8644e-07,4.16e-10,0.0028929332623761628,0.00891214371197735,0.020872851682597338,0.041591428609432324,0.062091721893982266,0.08818684995465709,0.13092007176236298,0.1725728015635699
0.30907,0.78865,7.1953e-05,8.3482e-07,4.49e-10,0.004526028608559773,0.013772689269340499,0.03219010821804058,0.06424737435743177,0.09608683932230977,0.13667487858356486,0.20345569808717812,0.2689335121432297
0.44726,0.54492,5.5686e-05,3.9003e-07,6.59e-10,0.0020854206766032224,0.006409057409636043,0.015029464264540437,0.030025253725329604,0.04493401998349256,0.06399604111149848,0.09546497180865876,0.12649690371835387
0.38445,0.17725,2.4085e-05,8.1035e-07,1.05e-10,0.0003590151769531369,0.001097246740926816,0.0025736535564023777,0.005157221021434677,0.0077406394418494395,0.011062001799586607,0.01659713435802923,0.022131675595470246
0.45649,0.91276,5.892e-05,2.5907e-07,2.03e-10,0.0029720655444906985,0.009142350536606947,0.02138676095590042,0.04256608111725735,0.06348666696872496,0.09001715986797465,0.13331057466017937,0.17548585178568388
0.35975,0.68047,4.4296e-05,9.1256e-07,7.49e-10,0.0025277636850469243,0.007706179334478591,0.0180590957010206,0.03616433737662683,0.05425552595038252,0.0774984321539357,0.11618509848032987,0.15478826375304067
0.45152,0.66944,1.3344e-05,4.8451e-07,9.14e-10,0.0007376148613374989,0.00228348795683031,0.005374963252689269,0.010784284913672115,0.016192936780918266,0.023146176429472365,0.034733027415953854,0.04631761583298666
0.44916,0.27338,4.5746e-05,9.2196e-07,3.58e-10,0.0010484570438260565,0.0031959551126451435,0.007490109915372245,0.015002916468994987,0.022513488463764997,0.03216645213653857,0.04824693812150327,0.06431659518156696
0.42931,0.44848,7.8713e-05,8.86e-07,4.36e-10,0.0028060737797398483,0.008532591295979386,0.01996171131868274,0.039881392573690055,0.05972020569050174,0.08510582324537463,0.12713616088582158,0.16872015101378768
0.25723,0.13866,9.1516e-05,5.3392e-08,7.97e-10,0.00014424725424344587,0.00044173182365603303,0.0010363415723834146,0.0020760818610017218,0.0031148483649926506,0.004448882609583649,0.0066686341490042045,0.008883755284633033
0.4709,0.98968,7.8102e-05,4.0324e-07,4.56e-10,0.0046938780382256295,0.01431217195859491,0.03333036846439008,0.06611723736327213,0.09832354582206138,0.13888183943382215,0.20456980498631272,0.26735257461444406
0.29292,0.31417,6.2734e-05,8.8373e-08,5.18e-10,0.0004836434674962975,0.0014934362868401774,0.0035098858991801096,0.007029215788327492,0.01053768730787763,0.0150338619682292,0.02248966961810861,0.02989800762709327
0.25364,0.39375,8.3592e-05,8.705e-07,8.58e-10,0.002578100047243459,0.007836445509506462,0.01832888582073955,0.03662394377515954,0.054832448210251905,0.07814334894821295,0.11672408330220418,0.15488002403776002
0.32231,0.56037,9.5749e-05,8.5456e-07,8.86e-10,0.0040543983992152866,0.012305893615816466,0.028726605081266565,0.05722270278574326,0.08546637822037428,0.12140312507956819,0.18031427053443494,0.23791542530542853
0.33546,0.78237,7.2961e-05,5.3412e-07,3.66e-10,0.0040218959480030625,0.01227257552250094,0.02865129024388524,0.05704227919168103,0.0851164336413982,0.12075031880830323,0.1790464766175618,0.23566359143190652
0.41136,0.69085,9.673e-05,5.2495e-07,5.69e-10,0.004182587077569355,0.01270983644130863,0.029594213262636337,0.058765808044954904,0.08749939244687766,0.12381040387440578,0.18287806887078129,0.23976021024035454
0.32285,0.16998,1.5277e-05,4.5997e-07,5.86e-10,0.00021360882854448704,0.0006625452631873197,0.0015604005365276175,0.0031316041033773168,0.004702758162592913,0.006722734701460897,0.010089218268430455,0.013455497820115236
0.33943,0.62109,9.0412e-05,5.8628e-07,9.45e-10,0.003797769634336201,0.01155181678738626,0.02694638507820113,0.05359441566517953,0.07992966785519695,0.11341714046393847,0.16808707505560727,0.22112635393048052
0.33018,0.15959,4.6576e-05,3.7416e-07,2.46e-10,0.0005326276676274055,0.0016441599593487455,0.003865693693246186,0.007749377651454781,0.011628089081335391,0.016607688739666338,0.024889872129493895,0.03314884840493726
0.38677,0.68208,1.4462e-05,9.6824e-07,1.22e-10,0.0008363816420656756,0.0025465103064289396,0.005964939438360184,0.01194313099967148,0.01791796435001336,0.02559664215597346,0.038386849600862916,0.05117057369517597
0.33813,0.12102,6.4835e-05,5.8988e-08,2.41e-10,0.00013204300239921807,0.000407774108593828,0.0009589887676160203,0.0019228498348807799,0.0028858553207062876,0.0041228346982775665,0.006181433224829447,0.008236239613662821
0.29104,0.83834,9.6139e-05,1.4688e-07,7.77e-10,0.0021465605385214692,0.006546144243473884,0.015276155742244835,0.03038472469620568,0.0452984189355532,0.06420487241313855,0.09513822264015204,0.12523354844899048
0.42622,0.50969,1.0683e-05,4.1698e-07,3.02e-10,0.00044610923927346224,0.0013882795386024327,0.0032724720122038198,0.006569439829647528,0.009865968023514582,0.014103900272350534,0.021166101261053116,0.02822705858939556
0.29939,0.66479,8.4728e-05,3.4377e-07,5.43e-10,0.0030109752824653002,0.009186115537110906,0.021433272425276928,0.04260856041699268,0.0635130725900257,0.09000731576133791,0.13329884046771923,0.17533382981687662
0.49092,0.55301,6.9166e-05,5.5233e-07,8.83e-10,0.0027733747676889076,0.00847111525766453,0.019821858052531005,0.039558052570020874,0.05916126258455323,0.08420602062190563,0.12546681819389593,0.16602496319625393
0.38022,0.29397,1.3087e-05,3.9831e-07,3.16e-10,0.000313938434180705,0.0009789822003722914,0.0023090259696392224,0.004636483782062051,0.006963821784251811,0.009955971252313178,0.014942504121791877,0.019928556241133877
0.27416,0.55773,6.5953e-05,2.341e-07,4.7e-10,0.0017989950331847027,0.005527389058382348,0.012942563305302857,0.025825728711875273,0.0386105411621549,0.054901829434393146,0.08170323322006168,0.10802176302014121
0.37112,0.40188,5.1746e-05,3.5137e-07,3.77e-10,0.0014081335266044048,0.004338973433554272,0.010187791793404122,0.020385715979671537,0.030542209996081704,0.043539013392540404,0.06506995352757017,0.08640717875104986
0.38204,0.72627,2.0886e-05,8.4498e-07,3.61e-10,0.0012781496689286964,0.0039026663667345307,0.009150573242604265,0.018331874571153595,0.02751081922688403,0.03930964808360271,0.05896990039445915,0.07862690214090007
0.47964,0.81768,2.3385e-05,7.0332e-07,2.3e-10,0.0016000210662083791,0.004904284300015549,0.011511892854204286,0.02307319495849469,0.03463235964687039,0.04949112688673618,0.07425001907466366,0.09900171760260246
0.48994,0.92154,2.5303e-05,1.2439e-07,6.01e-10,0.0012956834211126367,0.004140729112107944,0.009814821475288782,0.01969211144949634,0.029522601035647078,0.04209039531238734,0.0628562399357242,0.08340074523035523
0.35264,0.95548,5.5217e-05,4.7374e-07,1.15e-10,0.0038829639693944706,0.011907936146204112,0.027870640835317317,0.055574854487258074,0.08302901573140942,0.11795816904242507,0.1752993476481558,0.2312719457079565
0.36792,0.15232,1.8957e-05,2.6865e-07,6.93e-10,0.00022399575571785402,0.0007086382489983611,0.0016778136192879822,0.0033735909013217213,0.005069065816222906,0.0072485362708514245,0.010879745808528796,0.014509539765226065
0.28008,0.34192,3.1995e-05,5.1079e-07,7.07e-10,0.0008897900927651303,0.0027452618400932716,0.0064549736800011415,0.012944001598860888,0.01942951932979209,0.027763108782619228,0.041641186818860754,0.055502276123839955
0.47728,0.5698,1.7706e-05,6.4263e-07,2.34e-10,0.0008424951838279515,0.0025875647018730463,0.006077398710045534,0.012183575396699564,0.018288889108297957,0.02613744082845637,0.039216067935413323,0.052291873527887445
0.42403,0.90113,2.1925e-05,3.1619e-07,2.39e-10,0.0015531870259428704,0.004872984826201354,0.011508094234728983,0.023104419956164746,0.03468538177504088,0.04955280712228671,0.07428180954686747,0.09893241331875413
0.37596,0.61241,8.6645e-05,6.133e-07,8.36e-10,0.0037099370284440214,0.011288974406258423,0.02635252101941299,0.05245047478284315,0.07827362077430733,0.11114453914498534,0.16492195873610926,0.2172429881786787
0.49538,0.93889,1.171e-05,1.8917e-07,5.92e-10,0.0008295329254177641,0.002696072681522277,0.0064281998777466764,0.012955815761132139,0.019480006145036644,0.02786332168473149,0.04182468160551445,0.05576951209647141
0.35658,0.38291,3.5594e-05,6.8356e-07,4.9e-10,0.0011311600813141975,0.0034673393424451415,0.008138508764111263,0.016310274493099963,0.024478892781675143,0.034976818879944305,0.0524628438798469,0.06993280661470769
0.37962,0.7143,4.8852e-05,6.5867e-07,9.4e-10,0.0028225807564080663,0.0086401650645761,0.02025612333422344,0.040530798264864276,0.06074764557898904,0.08666961508975768,0.1296457727737098,0.1722769456515698
0.27509,0.33389,3.72e-05,2.4446e-07,2.26e-10,0.0008163679062843654,0.0025459624119796853,0.005999927849859477,0.012032275961785577,0.018050368854375387,0.02576529346599654,0.0385693438939988,0.051302953861397604
0.39608,0.17461,4.4665e-05,1.5555e-07,1.72e-10,0.00037016385297983234,0.0011530682093940925,0.002717401465188396,0.005450982805759508,0.008179434794881368,0.011680662454913837,0.017499101299486175,0.02329551784094952
0.43525,0.3994,5.7797e-05,2.5741e-07,9.5e-10,0.001284643858076806,0.003958052452494476,0.009289809298201224,0.018576127080047966,0.027813331480763148,0.03961965322096439,0.05912479691305417,0.07842752443062972
0.43646,0.51491,8.9545e-05,9.0332e-07,9.66e-10,0.0035901232784089077,0.010901997938343455,0.02546934505708065,0.050814615970957044,0.07599630063513352,0.1081739745058794,0.16116875503799677,0.21321839424904132
0.32392,0.47529,1.2064e-05,9.5855e-07,3.1e-10,0.0004871615035211274,0.0014831523563902937,0.003474084253223042,0.0069559479999316,0.01043554194716445,0.014906293269246751,0.02235179773945506,0.029790763155384536
0.37294,0.4921,4.3996e-05,8.9482e-07,6.75e-10,0.0018141678314875787,0.005532598287360191,0.012967146414354369,0.025971693680259644,0.03896913205058006,0.055670131381994725,0.08348130715188751,0.11125388575486705
0.25032,0.49683,7.9253e-05,4.6507e-07,2.55e-10,0.0025436967836491853,0.00776204598603758,0.018151268842555468,0.03618146045300408,0.05405510893410903,0.07684865790374462,0.11432595158857617,0.15105457452849003
0.42232,0.25829,3.776e-05,2.4138e-08,5.55e-10,0.00011525197178874347,0.0003640886692821699,0.0008615216460980957,0.0017314514781557877,0.002600705102965617,0.003717205038880844,0.005575609263987702,0.00743071884549007
0.40104,0.66122,1.9831e-05,6.6778e-07,2.8e-10,0.0010960544479061696,0.0033634220896311406,0.00789758079274372,0.015831138112207155,0.02376343923103008,0.03396045588301022,0.05095233263615362,0.0679407133025357
0.46618,0.20271,7.0276e-05,9.8717e-07,6.28e-10,0.0011697609427572253,0.0035574819883376074,0.00833001506598674,0.01667500875011041,0.025011973277999977,0.03571896292518573,0.0535374245878566,0.07131482622705276
0.43451,0.41357,3.6323e-05,6.7392e-07,5.73e-10,0.0012444922804345504,0.0038154335293606456,0.008955753772768249,0.01794761328044947,0.026935219241986275,0.038484399050471296,0.05771873058050758,0.07693079098444133
0.2862,0.52668,8.6393e-05,5.9287e-07,4.26e-10,0.0031443987529565787,0.009572887641931871,0.022355441334808934,0.04453835382364746,0.06652018220475531,0.09449243595131118,0.14044716029340543,0.18538377211666324
0.31573,0.27978,1.8382e-05,8.3901e-07,7.21e-10,0.0004336331722993858,0.001324117089103738,0.0031048697707065642,0.006220709295493787,0.009336046940872644,0.013340813050198297,0.02001421512922774,0.026686221422701828
0.44146,0.23477,8.1584e-05,5.2431e-07,6.32e-10,0.0012881511663930256,0.003930039363345683,0.0092020616280446,0.018399221320293146,0.027562056194407103,0.03928565773100012,0.05869810672894393,0.07795874952537662
0.31012,0.82009,6.4089e-05,9.0292e-08,2.91e-10,0.0012904665194213294,0.003978863291605794,0.00932839585890588,0.018628887037531294,0.027858180464633064,0.03961818952836682,0.058959804998895304,0.0780078901675082
0.30403,0.8779,7.5009e-05,9.9251e-07,8.48e-10,0.005369354664396475,0.01631154163735049,0.03811510982716382,0.07607144078465577,0.11378427363985699,0.1619618115789183,0.241152238386378,0.3185497250169934
0.36692,0.73727,9.2062e-05,4.8281e-08,3.87e-10,0.0006983895906840232,0.0021368868398806695,0.005005781872079229,0.010006916268067378,0.014985213544881026,0.021348595284787275,0.03187281478138626,0.04229101392901791
0.4819,0.28262,3.8245e-05,7.8533e-07,6.43e-10,0.0009028865940986508,0.002760220797205948,0.006474272249287871,0.012972436093031003,0.01946902121076144,0.027819420814411022,0.04173121154302539,0.05563576391068481
0.48709,0.70129,5.8291e-05,4.0948e-07,5.5e-10,0.002816834399112511,0.008644701572001035,0.020241041884065725,0.04038554724994692,0.06036971357548848,0.0858326949149617,0.12774178956613547,0.16884330359103972
0.28136,0.77734,9.4452e-05,3.5385e-07,8.07e-10,0.0037525509639783072,0.011416400094252488,0.02657646281453263,0.05272947519522586,0.07844635710136327,0.11088228724684379,0.16357396955059378,0.21420242963410363
0.35543,0.50588,6.511e-05,2.9397e-07,7.15e-10,0.0018551724681434845,0.005695969338700868,0.013339633944178364,0.026624652593611797,0.03981599083812637,0.05663785255693998,0.08435323228698388,0.111617544849134
0.48533,0.21159,9.3387e-05,5.9974e-07,8.42e-10,0.0013330508458445633,0.004057764619190607,0.009494516561046495,0.0189758485477054,0.02842196129830077,0.04050731592034962,0.06052110685720746,0.08037033020613549
0.49173,0.32907,7.4023e-05,9.0058e-07,6.09e-10,0.0019610947283896785,0.005966118285623101,0.013965617741150904,0.02793638768182749,0.04187113589923297,0.059743439417984656,0.08941762237739104,0.11891541834558417
0.43358,0.34769,8.704e-05,3.7831e-07,4.38e-10,0.0016848226536058108,0.0051406413094895465,0.012026294404540172,0.024001487571360003,0.03589496236482237,0.051063905369561624,0.07609091385847522,0.1007438314120761
0.36901,0.33424,9.8086e-05,2.7933e-07,2.71e-10,0.0014046843980453083,0.004281975300329477,0.010013183592304298,0.019985202945295266,0.029889561221084437,0.04251062978784814,0.06330591848130251,0.08379489242172333
0.45548,0.80573,4.6196e-05,2.1507e-07,8.63e-10,0.0020992157069782413,0.00650933345163518,0.015285313329766459,0.03051661924838056,0.04562136735794442,0.06489107470400679,0.09657340687361105,0.1276462123298151
0.30685,0.46106,4.519e-05,9.2826e-07,7e-10,0.001748012157890444,0.005327740771664646,0.012485092585287738,0.025005177410258428,0.037519084992112095,0.05359916160597522,0.0803783721036625,0.10712351583552615
0.37134,0.44146,8.2397e-05,5.0952e-07,2.95e-10,0.002407138064531411,0.00733894796445711,0.017161223852371177,0.034227789928307994,0.05115637869029155,0.0727604180923761,0.10833461627456165,0.14326946124697704
0.48448,0.41602,8.7998e-05,5.0335e-07,7.53e-10,0.0023445061030277214,0.007142129123624663,0.01669556971358832,0.03328942849911731,0.049744622302358654,0.07073922404986122,0.10529593799104531,0.13921450929811408
0.26905,0.15728,2.6936e-05,1.3394e-08,8.55e-10,3.832624924504646e-05,0.00012389497758236168,0.000295004754663597,0.0005943684877000033,0.0008936506370487152,0.00127832621739854,0.001919130194133034,0.002559559113576415
0.48357,0.86979,4.0853e-05,1.0215e-07,5.24e-10,0.0013364729797675778,0.004183096446841006,0.009850986497632164,0.01970618732527407,0.0294917002786782,0.041975244091774555,0.06250456515400649,0.08271895941803886
0.43806,0.12729,7.6699e-05,7.1053e-07,9.85e-10,0.0007420617880509184,0.0022619100671709136,0.005299534601456046,0.010608050377879041,0.01590937150274563,0.022714926944454872,0.034029066359293925,0.04530816292245099
0.44002,0.40727,9.9572e-05,2.1236e-07,7.67e-10,0.0014091147982123742,0.004296693123923223,0.010048423472966639,0.020038563049622815,0.029953470791787784,0.04259409810071213,0.06337191018408594,0.08381965719795836
0.42795,0.14895,8.2635e-05,4.6695e-07,2.17e-10,0.0007829117931271723,0.002390398238913627,0.005601026530872688,0.011205411606992843,0.016795579182803833,0.02396251278367867,0.03585152693027105,0.047673209409877515
0.33318,0.88379,3.3717e-05,8.0468e-07,1.43e-10,0.002498086397618171,0.007634760694484766,0.01790557426527184,0.0358724662287051,0.05383063523921505,0.0769094284496592,0.11534437406165532,0.1537318619372099
0.28712,0.38387,5.3298e-05,7.9155e-07,6.04e-10,0.0016798485628239934,0.0051278724249184116,0.012018700367947499,0.0240647991304056,0.036095931597589836,0.051541607036105996,0.07723366253060693,0.10284433275845606
0.3289,0.57572,8.2973e-05,2.6687e-07,8.16e-10,0.002210050667691643,0.006753376198882055,0.015782014204149486,0.031418891311660646,0.046893105226607834,0.06659607416003632,0.09888529199090224,0.1304124254089547
0.25792,0.42557,9.1409e-05,1.3921e-07,5.5e-10,0.0010324843267839334,0.0031560511469468366,0.0073895091901121646,0.014753798833818221,0.022074053274539707,0.03142315341122126,0.046835736636073544,0.06204773921069795
0.26345,0.16686,7.22e-05,4.2482e-07,6.67e-10,0.000777424696174589,0.002379596208653134,0.005578547715441751,0.011164332109793507,0.01673727116777568,0.023883107726429875,0.03573773978969186,0.04752876794131122
0.31793,0.95034,2.0348e-05,2.2259e-07,5.38e-10,0.0014324563583403283,0.004554682070286087,0.010790872943009733,0.021681258236662004,0.032547778924191695,0.046484827197841305,0.06963279748824025,0.09266110368977543
0.45025,0.80993,7.9368e-05,9.3537e-07,8.75e-10,0.0051523461606394205,0.015650919417775078,0.03655425611976015,0.0729235000576769,0.10902677157540097,0.1550813418865905,0.2306115710682478,0.30424156519303713
0.25509,0.22703,5.9186e-05,7.434e-07,3.92e-10,0.0010815948276070575,0.0033022810596170515,0.007740256693304248,0.015498788628969251,0.02324836193818869,0.03319832849483806,0.04975054831042447,0.06626075059710756
0.46475,0.39194,1.4723e-05,7.9831e-07,1.96e-10,0.0004862290287979132,0.0014858059193848527,0.00348455324753727,0.006981497962511796,0.010477590871743603,0.01497148893689737,0.022459155953576282,0.029944082355798374
0.46769,0.3648,7.9869e-05,9.7429e-07,4.77e-10,0.0023504273989896074,0.007142122489224856,0.016711061998920473,0.03341258672880432,0.05006337446857334,0.0713992658774697,0.10680072212179281,0.14194415845074393
0.30036,0.62209,1.5575e-05,1.9783e-07,5.29e-10,0.0007226777526911921,0.002326728257134314,0.005533342780981276,0.01114109224306925,0.01674421301115847,0.023940940791332244,0.035919819274232934,0.047878130927787255
0.33745,0.48302,8.8431e-05,6.8234e-07,8.69e-10,0.00308154806828298,0.00937228451982286,0.021902313918196414,0.04365793570102661,0.06524025993358773,0.09273649081178748,0.13800803846867005,0.18240273804764784
0.29227,0.72109,9.0794e-05,7.9317e-07,6.51e-10,0.004910910189793838,0.014911001871072083,0.03477105324736429,0.0692018338069994,0.10324208586536854,0.14642242345073508,0.21697080416723635,0.2852524583465085
0.36053,0.89585,2.3524e-05,8.2031e-07,4.08e-10,0.0017730743716408703,0.0054172854673029125,0.012704259127344963,0.02545324587328479,0.03819916995682415,0.0545837814778648,0.08188651915291134,0.10918400067955014
0.28288,0.30408,6.2227e-05,3.6567e-07,6.2e-10,0.0012140895360627235,0.003727412343185854,0.008742773977511553,0.017490983816717764,0.02620446983628999,0.03735210999576544,0.05580823881633257,0.07409304369519931
0.402,0.97087,9.0046e-05,7.2214e-07,2.88e-10,0.0063852435116251716,0.01937780196123562,0.04510753850606475,0.0895152518446416,0.13316560709302994,0.18811496113601245,0.27692167095622444,0.36119036130286375
0.37462,0.92607,6.0575e-05,5.6126e-07,9.62e-10,0.004233192578275369,0.012944520847062324,0.030273542865818848,0.06035881252595865,0.09017457307865084,0.12810871320504214,0.19036317447513607,0.25108291011361905
0.35824,0.49052,3.6735e-05,7.7073e-07,2.53e-10,0.0015050611050014817,0.004602888832723417,0.010797088243218456,0.021633334559458928,0.032465407378819755,0.04638596150152641,0.06957275709533395,0.09273652781838149
0.28948,0.52987,3.0148e-05,4.4277e-07,1.92e-10,0.001282768132255807,0.0039722618337754145,0.009348372301805408,0.018748261817220335,0.028138226320249426,0.040198176896722115,0.06026711886004643,0.0802877656789246
0.27912,0.14208,2.9506e-05,1.5199e-07,7.62e-10,0.00024216097214713184,0.0007665650889752129,0.0018147776624999334,0.003647792726000021,0.005479230885271136,0.007831323549599367,0.011745624918441666,0.015652066966169276
